Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Unnamed: 10_level_0,Unnamed: 11_level_0,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0
#,Rk,Date,Type,Team,Conf.,Opp.,Venue,Result,Adj. O,Adj. D,T,EFF,eFG%,TO%,Reb%,FTR,EFF,eFG%,TO%,Reb%,FTR,G-Sc,+/-,Unnamed: 24_level_1
60,60,11/6/25,N,Texas A&M,SEC,Texas Southern,H,"W, 104-70",123.2,104.1,77.2,134.7,63.9,10.4,22.6,60.7,90.6,56.1,29.8,30,51,87.5,6,
61,61,11/3/25,N,Loyola Chicago,A10,Cleveland St.,H,"W, 91-88",123.1,128.6,71.9,126.6,54.5,9.7,29.3,37.9,122.4,52.3,19.5,50,35.9,37.7,2,
62,62,11/8/25,N,St. John's,BE,Alabama,H,"L, 103-96",123,109.9,84.2,114,54,14.2,25.6,63.5,122.3,54.9,8.3,30.4,27.2,78.6,-4,
63,63,11/7/25,N,Wisconsin,B10,Northern Illinois,H,"W, 97-72",123,99.7,73.7,131.7,56.6,12.2,41.7,60.7,97.8,54.3,23.1,16,66,91.8,18,
64,64,11/3/25,N,Texas A&M,SEC,Northwestern St.,H,"W, 98-68",123,95.9,75.5,129.9,57,15.9,43.6,32.4,90.1,45.7,21.2,27,36.2,94.6,16,
65,65,11/3/25,N,SMU,ACC,Tarleton St.,H,"W, 96-76",122.9,115.4,72.8,131.9,63,15.1,28.6,84,104.4,46.1,20.6,30.3,68.6,67.4,6,
66,66,11/3/25,N,Wisconsin,B10,Campbell,H,"W, 96-64",122.8,99.9,71,135.1,59,12.7,38.2,28.4,90.1,49,26.7,30,32.7,91.5,6,
67,67,11/7/25,N,Oakland,Horz,Purdue,A,"L, 87-77",122.8,104,69.9,110.1,50,12.9,31.6,17.6,124.4,56.6,7.2,28.9,22.1,87.2,-3,
68,68,11/8/25,N,Penn St.,B10,New Haven,A,"W, 87-43",122.8,88.9,62.2,139.9,61.5,9.6,40,26.2,69.1,42.2,30.5,20,17.8,97.6,12,
69,69,11/8/25,N,Colorado,B12,Eastern Washington,H,"W, 102-97",122.5,123.4,70,129.5,59.5,12.7,31.4,61.9,123.1,66.9,15.2,21.4,30.6,47.8,-,
70,70,11/3/25,N,Northern Illinois,MAC,Louisiana Monroe,H,"W, 102-82",122.5,126,74.9,136.2,63.8,24,61.3,40,109.5,58.9,17.4,19.4,39.3,42.2,7,
71,71,11/3/25,N,Dayton,A10,Canisius,H,"W, 88-48",122.4,88.2,63.4,138.9,58.8,6.3,35.5,80.4,75.8,43,30,33.3,22,97.7,18,
72,72,11/7/25,N,Davidson,A10,Washington St.,H,"W, 85-69",122.4,97.7,70,121.5,69.4,21.4,18.2,42.9,98.6,45.5,22.9,33.3,41.8,93,15,
73,73,11/3/25,N,Louisville,ACC,South Carolina St.,H,"W, 104-45",122.1,63.2,81.6,127.5,62.9,20.8,36.4,53.2,55.2,24.6,30.7,25.5,38.6,99.9,33,
74,74,11/6/25,N,North Texas,Amer,Northwestern St.,H,"W, 80-53",122,102.1,59.1,135.3,66,18.6,46.2,44,89.6,41.2,27.1,33.3,67.5,88.6,6,
75,75,11/7/25,N,Yale,Ivy,Navy,A,"W, 97-68",122,94.6,75.6,128.3,59.1,13.2,34.3,34.8,89.9,47,25.1,19.4,56,94.9,9,
76,76,11/7/25,N,Notre Dame,ACC,Detroit Mercy,H,"W, 102-70",121.6,103.3,76.1,134,62.3,9.2,30.6,31.9,92,48.5,17.1,19.5,14.9,86.7,12,
77,77,11/8/25,N,Elon,CAA,UNC Greensboro,A,"W, 92-90",121.6,125.8,66.3,123.4,47.3,5.4,40.4,40,120.7,58.7,14.8,30.8,42.9,40.4,-,
78,78,11/3/25,N,Saint Mary's,WCC,St. Thomas,H,"W, 84-58",121.6,93.7,64.9,129.5,60.5,17,36.7,33.3,89.4,51.9,15.4,11.8,18.9,95.2,8,
79,79,11/3/25,N,Idaho,BSky,Washington St.,A,"W, 83-81",121.2,108.6,71.6,115.9,59.5,15.4,21.2,32.8,113.1,49.1,7,17.6,59.6,77.9,9,
80,80,11/7/25,N,Kansas,B12,North Carolina,A,"L, 87-74",121.2,105.8,70.6,104.8,55.2,19.8,23.3,25.9,123.2,57.6,15.6,44.4,25.8,82.7,-2,
81,81,11/3/25,N,Notre Dame,ACC,LIU,H,"W, 89-67",121.2,97.5,71,125.4,61.8,26.8,50,54.5,94.4,43.6,21.1,33.3,56.4,92.4,14,
82,82,11/3/25,N,Virginia,ACC,Rider,H,"W, 87-53",121.2,96.7,64,136,53.1,9.4,53.7,53.1,82.9,35.7,21.9,32.5,59.2,93.1,11,
83,83,11/6/25,N,Iowa St.,B12,Grambling St.,H,"W, 102-62",121.1,96.3,74.8,136.3,63.6,16,44.4,43.9,82.8,46.9,25.4,15.6,46.9,93.3,11,
84,84,11/7/25,N,Arizona,B12,Utah Tech,H,"W, 93-67",121.1,103.6,71.2,130.7,62.7,16.9,40.6,31.7,94.2,43.6,19.7,28.9,49.1,85.8,10,
85,85,11/7/25,N,Stephen F. Austin,Slnd,Arkansas St.,H,"W, 90-65",120.9,89.5,73.8,121.9,57.1,19,48.7,27.1,88,36.1,19,25,61.1,96.9,15,
86,86,11/7/25,N,Northwestern,B10,Boston University,H,"W, 76-52",120.9,89.3,60.2,126.1,57.5,8.3,33.3,21.7,86.3,40.5,23.2,37.5,12.1,97,16,
87,87,11/4/25,N,Nevada,MWC,Louisiana Tech,H,"W, 77-50",120.9,86.1,62.7,122.8,50,16,48.6,50,79.8,39,20.7,22.2,34,98,13,
88,88,11/3/25,N,Siena,MAAC,Bryant,H,"W, 82-66",120.8,107.1,66.6,123.1,50,10.5,47.4,29.9,99.1,51.8,30,43.8,21.4,80,10,
89,89,11/3/25,N,Mississippi,SEC,Southeastern Louisia,H,"W, 88-58",120.7,99.9,66.6,132.2,58.3,15,44.4,55.6,87.1,40.6,19.5,25.6,47.2,89.7,8,
90,90,11/7/25,N,George Mason,A10,Winthrop,H,"W, 96-90",120.7,123.2,76.6,125.3,55.1,18.3,44.4,72.9,117.5,48.5,7.8,24.4,43.3,44.1,0,
